Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,18053,931,0.0516,169532670,9390831,1.0000
badia.villagonzalez.xyz,81,1,0.0123,85744,1058562,1.0000
bienvenidoff.villagonzalez.xyz,15515,889,0.0573,37506106,2417409,1.0000
chiquita.villagonzalez.xyz,4848,824,0.1700,22575797,4656724,1.0000
dinitaff.villagonzalez.xyz,16,0,0.0000,7444,465252,1.0000
dragoff.villagonzalez.xyz,52071,4635,0.0890,227943164,4377545,1.0000
hidanzhitoyt.villagonzalez.xyz,7,0,0.0000,1184,169143,1.0000
hzpro.villagonzalez.xyz,16,1,0.0625,6505,406552,1.0000
jeter.villagonzalez.xyz,3,0,0.0000,418,139201,1.0000
ladary.villagonzalez.xyz,48,0,0.0000,103144,2148825,1.0000
scar.villagonzalez.xyz,1,0,0.0000,168,168001,1.0000
sensibilidad.villagonzalez.xyz,18785,2589,0.1378,82698569,4402373,1.0000
thesakura.villagonzalez.xyz,34578,6246,0.1806,153750499,4446483,1.0000
tiayoshy.villagonzalez.xyz,696,40,0.0575,2778049,3991449,1.0000
tilindiamantes.villagonzalez.xyz,476,35,0.0735,2150102,4517020,1.0000
villagonzalez.xyz,72,0,0.0000,81616,1133560,1.0000
waderlinff.villagonzalez.xyz,4361,304,0.0697,19537464,4480042,1.0000
