Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,18053,931,0.0516,169532670,9390831,1.0000
badia.villagonzalez.xyz,81,1,0.0123,85744,1058562,1.0000
bienvenidoff.villagonzalez.xyz,4373,274,0.0627,9034925,2066070,1.0000
chiquita.villagonzalez.xyz,4766,821,0.1723,22290322,4676945,1.0000
dinitaff.villagonzalez.xyz,16,0,0.0000,7444,465252,1.0000
dragoff.villagonzalez.xyz,49920,4405,0.0882,210734700,4221448,1.0000
hidanzhitoyt.villagonzalez.xyz,7,0,0.0000,1184,169143,1.0000
jeter.villagonzalez.xyz,3,0,0.0000,418,139201,1.0000
ladary.villagonzalez.xyz,48,0,0.0000,103144,2148825,1.0000
scar.villagonzalez.xyz,1,0,0.0000,168,168001,1.0000
sensibilidad.villagonzalez.xyz,10536,1436,0.1363,44429540,4216927,1.0000
thesakura.villagonzalez.xyz,34578,6246,0.1806,153750499,4446483,1.0000
tiayoshy.villagonzalez.xyz,660,40,0.0606,2575906,3902889,1.0000
tilindiamantes.villagonzalez.xyz,476,35,0.0735,2150102,4517020,1.0000
villagonzalez.xyz,24,0,0.0000,36260,1510839,1.0000
waderlinff.villagonzalez.xyz,2302,166,0.0721,12268394,5329450,1.0000
