Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,19247,1054,0.0548,172579726,8966578,1.0000
badia.villagonzalez.xyz,81,1,0.0123,85744,1058562,1.0000
bienvenidoff.villagonzalez.xyz,15720,907,0.0577,38062439,2421275,1.0000
chiquita.villagonzalez.xyz,7317,1235,0.1688,37055872,5064353,1.0000
dinitaff.villagonzalez.xyz,16,0,0.0000,7444,465252,1.0000
dragoff.villagonzalez.xyz,52072,4635,0.0890,227943176,4377462,1.0000
hidanzhitoyt.villagonzalez.xyz,7,0,0.0000,1184,169143,1.0000
hzpro.villagonzalez.xyz,16,1,0.0625,6505,406552,1.0000
jeter.villagonzalez.xyz,3,0,0.0000,418,139201,1.0000
ladary.villagonzalez.xyz,48,0,0.0000,103144,2148825,1.0000
scar.villagonzalez.xyz,1,0,0.0000,168,168001,1.0000
sensibilidad.villagonzalez.xyz,19350,2646,0.1367,85628351,4425238,1.0000
thesakura.villagonzalez.xyz,38875,6948,0.1787,177010271,4553319,1.0000
tiayoshy.villagonzalez.xyz,741,43,0.0580,2925128,3947541,1.0000
tilindiamantes.villagonzalez.xyz,1329,155,0.1166,7168236,5393707,1.0000
villagonzalez.xyz,77,1,0.0130,89500,1162342,1.0000
waderlinff.villagonzalez.xyz,4435,309,0.0697,19765883,4456794,1.0000
