Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,1329,130,0.0978,3644522,2742304,1.0000
bienvenidoff.villagonzalez.xyz,214,19,0.0888,578821,2704773,1.0000
chiquita.villagonzalez.xyz,2771,452,0.1631,16934365,6111283,1.0000
dragoff.villagonzalez.xyz,1,0,0.0000,12,12000,1.0000
sensibilidad.villagonzalez.xyz,679,69,0.1016,4481148,6599629,1.0000
thesakura.villagonzalez.xyz,4842,792,0.1636,27361690,5650907,1.0000
tiayoshy.villagonzalez.xyz,48,4,0.0833,163005,3395946,1.0000
tilindiamantes.villagonzalez.xyz,1001,146,0.1459,6691381,6684696,1.0000
villagonzalez.xyz,5,1,0.2000,7884,1576806,1.0000
waderlinff.villagonzalez.xyz,89,8,0.0899,275591,3096533,1.0000
